post_id,forum_id,thread_id,parent_post_id,username,content,timestamp,post_url,author_profile_url,collected_at
P0001,F001,TH0001,,shadowfox,"For me, I check the original reference before trusting a seller. I kept the wording simple because the thread is public.",2025-04-01T16:00:00Z,http://source.example.invalid/post/P0001,http://source.example.invalid/user/shadowfox,2025-04-01T18:00:00Z
P0002,F001,TH0002,,shadowfox,"Usually, The older copy is still useful if the current one changed. I kept the wording simple because the thread is public. I was checking this from Bengaluru at the time.",2025-04-01T23:00:00Z,http://source.example.invalid/post/P0002,http://source.example.invalid/user/shadowfox,2025-04-02T01:00:00Z
P0003,F001,TH0003,,shadowfox,"In practice, I would verify the destination twice before sending anything. I kept the wording simple because the thread is public.",2025-04-02T06:00:00Z,http://source.example.invalid/post/P0003,http://source.example.invalid/user/shadowfox,2025-04-02T08:00:00Z
P0004,F001,TH0003,P0003,shadowfox,"For me, I avoid putting unnecessary details into a public reply. I kept the wording simple because the thread is public. Public key fingerprint: 3A51BFA53BEDBF12EFD852A5EA9640169DB1832B.",2025-04-02T13:00:00Z,http://source.example.invalid/post/P0004,http://source.example.invalid/user/shadowfox,2025-04-02T15:00:00Z
P0005,F001,TH0004,,shadowfox,"Usually, A checksum is useful, but I still compare the source. I kept the wording simple because the thread is public.",2025-04-02T20:00:00Z,http://source.example.invalid/post/P0005,http://source.example.invalid/user/shadowfox,2025-04-02T22:00:00Z
P0006,F001,TH0005,,shadowfox,"In practice, A clean history helps, although one good review is not enough. I kept the wording simple because the thread is public. I was checking this from Bengaluru at the time. Payment address I published for this thread: 0xdd31ffb1f533a2fabe0bb4223175bbd45c214a17.",2025-04-03T03:00:00Z,http://source.example.invalid/post/P0006,http://source.example.invalid/user/shadowfox,2025-04-03T05:00:00Z
P0007,F001,TH0006,,shadowfox,"For me, I check the original reference before trusting a seller. I kept the wording simple because the thread is public. I kept this note with the thread for later review.",2025-04-03T10:00:00Z,http://source.example.invalid/post/P0007,http://source.example.invalid/user/shadowfox,2025-04-03T12:00:00Z
P0008,F001,TH0006,P0007,shadowfox,"Usually, The older copy is still useful if the current one changed. I kept the wording simple because the thread is public.",2025-04-03T17:00:00Z,http://source.example.invalid/post/P0008,http://source.example.invalid/user/shadowfox,2025-04-03T19:00:00Z
P0009,F002,TH0007,,shadow_fox,"For me, The older copy is still useful if the current one changed. I kept the wording simple because the thread is public.",2025-04-04T11:00:00Z,http://source.example.invalid/post/P0009,http://source.example.invalid/user/shadow_fox,2025-04-04T13:00:00Z
P0010,F002,TH0008,,shadow_fox,"Usually, I would verify the destination twice before sending anything. I kept the wording simple because the thread is public. I was checking this from Pune at the time.",2025-04-04T18:00:00Z,http://source.example.invalid/post/P0010,http://source.example.invalid/user/shadow_fox,2025-04-04T20:00:00Z
P0011,F002,TH0009,,shadow_fox,"In practice, I avoid putting unnecessary details into a public reply. I kept the wording simple because the thread is public. For settlement, use the address I posted earlier: 0xdd31ffb1f533a2fabe0bb4223175bbd45c214a17.",2025-04-05T01:00:00Z,http://source.example.invalid/post/P0011,http://source.example.invalid/user/shadow_fox,2025-04-05T03:00:00Z
P0012,F002,TH0009,P0011,shadow_fox,"For me, A checksum is useful, but I still compare the source. I kept the wording simple because the thread is public.",2025-04-05T08:00:00Z,http://source.example.invalid/post/P0012,http://source.example.invalid/user/shadow_fox,2025-04-05T10:00:00Z
P0013,F002,TH0010,,shadow_fox,"Usually, A clean history helps, although one good review is not enough. I kept the wording simple because the thread is public.",2025-04-05T15:00:00Z,http://source.example.invalid/post/P0013,http://source.example.invalid/user/shadow_fox,2025-04-05T17:00:00Z
P0014,F002,TH0011,,shadow_fox,"In practice, I check the original reference before trusting a seller. I kept the wording simple because the thread is public. I was checking this from Pune at the time.",2025-04-05T22:00:00Z,http://source.example.invalid/post/P0014,http://source.example.invalid/user/shadow_fox,2025-04-06T00:00:00Z
P0015,F002,TH0012,,shadow_fox,"For me, The older copy is still useful if the current one changed. I kept the wording simple because the thread is public. Public key fingerprint: 3A51BFA53BEDBF12EFD852A5EA9640169DB1832B.",2025-04-06T05:00:00Z,http://source.example.invalid/post/P0015,http://source.example.invalid/user/shadow_fox,2025-04-06T07:00:00Z
P0016,F002,TH0012,P0015,shadow_fox,"Usually, I would verify the destination twice before sending anything. I kept the wording simple because the thread is public.",2025-04-06T12:00:00Z,http://source.example.invalid/post/P0016,http://source.example.invalid/user/shadow_fox,2025-04-06T14:00:00Z
P0017,F003,TH0013,,sfox77,"For me, I would verify the destination twice before sending anything. I kept the wording simple because the thread is public.",2025-04-07T06:00:00Z,http://source.example.invalid/post/P0017,http://source.example.invalid/user/sfox77,2025-04-07T08:00:00Z
P0018,F003,TH0014,,sfox77,"Usually, I avoid putting unnecessary details into a public reply. I kept the wording simple because the thread is public. I was checking this from Delhi at the time.",2025-04-07T13:00:00Z,http://source.example.invalid/post/P0018,http://source.example.invalid/user/sfox77,2025-04-07T15:00:00Z
P0019,F003,TH0015,,sfox77,"In practice, A checksum is useful, but I still compare the source. I kept the wording simple because the thread is public. Contact for this thread: sfox77.demo@sample.test.",2025-04-07T20:00:00Z,http://source.example.invalid/post/P0019,http://source.example.invalid/user/sfox77,2025-04-07T22:00:00Z
P0020,F003,TH0015,P0019,sfox77,"For me, A clean history helps, although one good review is not enough. I kept the wording simple because the thread is public.",2025-04-08T03:00:00Z,http://source.example.invalid/post/P0020,http://source.example.invalid/user/sfox77,2025-04-08T05:00:00Z
P0021,F003,TH0016,,sfox77,"Usually, I check the original reference before trusting a seller. I kept the wording simple because the thread is public.",2025-04-08T10:00:00Z,http://source.example.invalid/post/P0021,http://source.example.invalid/user/sfox77,2025-04-08T12:00:00Z
P0022,F003,TH0017,,sfox77,"In practice, The older copy is still useful if the current one changed. I kept the wording simple because the thread is public. I was checking this from Delhi at the time.",2025-04-08T17:00:00Z,http://source.example.invalid/post/P0022,http://source.example.invalid/user/sfox77,2025-04-08T19:00:00Z
P0023,F003,TH0018,,sfox77,"For me, I would verify the destination twice before sending anything. I kept the wording simple because the thread is public. I kept this note with the thread for later review.",2025-04-09T00:00:00Z,http://source.example.invalid/post/P0023,http://source.example.invalid/user/sfox77,2025-04-09T02:00:00Z
P0024,F003,TH0018,P0023,sfox77,"Usually, I avoid putting unnecessary details into a public reply. I kept the wording simple because the thread is public.",2025-04-09T07:00:00Z,http://source.example.invalid/post/P0024,http://source.example.invalid/user/sfox77,2025-04-09T09:00:00Z
P0025,F002,TH0019,,darkwolf,I check this first. I would verify the destination twice before sending anything. I do not move ahead until that check is done.,2025-04-08T21:00:00Z,http://source.example.invalid/post/P0025,http://source.example.invalid/user/darkwolf,2025-04-08T23:00:00Z
P0026,F002,TH0020,,darkwolf,First thing: I avoid putting unnecessary details into a public reply. I do not move ahead until that check is done. I was checking this from Pune at the time.,2025-04-09T04:00:00Z,http://source.example.invalid/post/P0026,http://source.example.invalid/user/darkwolf,2025-04-09T06:00:00Z
P0027,F002,TH0021,,darkwolf,"I would verify that. A checksum is useful, but I still compare the source. I do not move ahead until that check is done.",2025-04-09T11:00:00Z,http://source.example.invalid/post/P0027,http://source.example.invalid/user/darkwolf,2025-04-09T13:00:00Z
P0028,F002,TH0021,P0027,darkwolf,"I check this first. A clean history helps, although one good review is not enough. I do not move ahead until that check is done. Public key fingerprint: B85752AECC22AB55C230ECCDF4C58AA8EFA1C160.",2025-04-09T18:00:00Z,http://source.example.invalid/post/P0028,http://source.example.invalid/user/darkwolf,2025-04-09T20:00:00Z
P0029,F002,TH0022,,darkwolf,First thing: I check the original reference before trusting a seller. I do not move ahead until that check is done.,2025-04-10T01:00:00Z,http://source.example.invalid/post/P0029,http://source.example.invalid/user/darkwolf,2025-04-10T03:00:00Z
P0030,F002,TH0023,,darkwolf,I would verify that. The older copy is still useful if the current one changed. I do not move ahead until that check is done. I was checking this from Pune at the time. Payment address I published for this thread: 0xb4b3d2c42b6f00cdb0ba697de87ee56b5e1e5d88.,2025-04-10T08:00:00Z,http://source.example.invalid/post/P0030,http://source.example.invalid/user/darkwolf,2025-04-10T10:00:00Z
P0031,F002,TH0024,,darkwolf,I check this first. I would verify the destination twice before sending anything. I do not move ahead until that check is done. I kept this note with the thread for later review.,2025-04-10T15:00:00Z,http://source.example.invalid/post/P0031,http://source.example.invalid/user/darkwolf,2025-04-10T17:00:00Z
P0032,F002,TH0024,P0031,darkwolf,First thing: I avoid putting unnecessary details into a public reply. I do not move ahead until that check is done.,2025-04-10T22:00:00Z,http://source.example.invalid/post/P0032,http://source.example.invalid/user/darkwolf,2025-04-11T00:00:00Z
P0033,F004,TH0025,,dark_wolf,I check this first. I avoid putting unnecessary details into a public reply. I do not move ahead until that check is done.,2025-04-11T16:00:00Z,http://source.example.invalid/post/P0033,http://source.example.invalid/user/dark_wolf,2025-04-11T18:00:00Z
P0034,F004,TH0026,,dark_wolf,"First thing: A checksum is useful, but I still compare the source. I do not move ahead until that check is done. I was checking this from Delhi at the time.",2025-04-11T23:00:00Z,http://source.example.invalid/post/P0034,http://source.example.invalid/user/dark_wolf,2025-04-12T01:00:00Z
P0035,F004,TH0027,,dark_wolf,"I would verify that. A clean history helps, although one good review is not enough. I do not move ahead until that check is done.",2025-04-12T06:00:00Z,http://source.example.invalid/post/P0035,http://source.example.invalid/user/dark_wolf,2025-04-12T08:00:00Z
P0036,F004,TH0027,P0035,dark_wolf,I check this first. I check the original reference before trusting a seller. I do not move ahead until that check is done.,2025-04-12T13:00:00Z,http://source.example.invalid/post/P0036,http://source.example.invalid/user/dark_wolf,2025-04-12T15:00:00Z
P0037,F004,TH0028,,dark_wolf,First thing: The older copy is still useful if the current one changed. I do not move ahead until that check is done.,2025-04-12T20:00:00Z,http://source.example.invalid/post/P0037,http://source.example.invalid/user/dark_wolf,2025-04-12T22:00:00Z
P0038,F004,TH0029,,dark_wolf,I would verify that. I would verify the destination twice before sending anything. I do not move ahead until that check is done. I was checking this from Delhi at the time.,2025-04-13T03:00:00Z,http://source.example.invalid/post/P0038,http://source.example.invalid/user/dark_wolf,2025-04-13T05:00:00Z
P0039,F004,TH0030,,dark_wolf,I check this first. I avoid putting unnecessary details into a public reply. I do not move ahead until that check is done. Public key fingerprint: B85752AECC22AB55C230ECCDF4C58AA8EFA1C160.,2025-04-13T10:00:00Z,http://source.example.invalid/post/P0039,http://source.example.invalid/user/dark_wolf,2025-04-13T12:00:00Z
P0040,F004,TH0030,P0039,dark_wolf,"First thing: A checksum is useful, but I still compare the source. I do not move ahead until that check is done.",2025-04-13T17:00:00Z,http://source.example.invalid/post/P0040,http://source.example.invalid/user/dark_wolf,2025-04-13T19:00:00Z
P0041,F005,TH0031,,dw77,"I check this first. A checksum is useful, but I still compare the source. I do not move ahead until that check is done.",2025-04-14T11:00:00Z,http://source.example.invalid/post/P0041,http://source.example.invalid/user/dw77,2025-04-14T13:00:00Z
P0042,F005,TH0032,,dw77,"First thing: A clean history helps, although one good review is not enough. I do not move ahead until that check is done. I was checking this from Mumbai at the time.",2025-04-14T18:00:00Z,http://source.example.invalid/post/P0042,http://source.example.invalid/user/dw77,2025-04-14T20:00:00Z
P0043,F005,TH0033,,dw77,I would verify that. I check the original reference before trusting a seller. I do not move ahead until that check is done.,2025-04-15T01:00:00Z,http://source.example.invalid/post/P0043,http://source.example.invalid/user/dw77,2025-04-15T03:00:00Z
P0044,F005,TH0033,P0043,dw77,I check this first. The older copy is still useful if the current one changed. I do not move ahead until that check is done.,2025-04-15T08:00:00Z,http://source.example.invalid/post/P0044,http://source.example.invalid/user/dw77,2025-04-15T10:00:00Z
